Country/area,Type,Capacity_MW,Country_Total_MW,Capacity_Share
Indonesia,bioenergy,2971.0,97888.2,0.03035095139148539
Indonesia,coal,60704.6,97888.2,0.620142162180937
Indonesia,geothermal,2509.9,97888.2,0.02564047556293813
Indonesia,hydropower,5369.0,97888.2,0.054848286105986216
Indonesia,oil/gas,25218.0,97888.2,0.25762042820278647
Indonesia,solar,958.7,97888.2,0.009793826017844847
Indonesia,wind,157.0,97888.2,0.0016038705380219476
Malaysia,bioenergy,296.83,39740.53,0.0074692008385393955
Malaysia,coal,13280.0,39740.53,0.3341676620820105
Malaysia,hydropower,6158.0,39740.53,0.1549551553539925
Malaysia,oil/gas,17352.0,39740.53,0.4366323247324583
Malaysia,solar,2653.7,39740.53,0.06677565699299934
Philippines,bioenergy,533.79,29722.49,0.017959127919632573
Philippines,coal,12642.4,29722.49,0.4253479435942278
Philippines,geothermal,1941.0,29722.49,0.06530408455011676
Philippines,hydropower,3436.0,29722.49,0.11560269681308664
Philippines,oil/gas,6881.8,29722.49,0.23153511028181017
Philippines,solar,3695.5,29722.49,0.1243334592761239
Philippines,wind,592.0,29722.49,0.019917577565002124
Singapore,bioenergy,438.0,15421.2,0.02840245895261069
Singapore,oil/gas,14726.0,15421.2,0.9549192021373174
Singapore,solar,257.2,15421.2,0.01667833891007185
Thailand,bioenergy,2575.9,53290.9,0.048336582793685225
Thailand,coal,5838.0,53290.9,0.1095496604485944
Thailand,hydropower,3570.0,53290.9,0.06699079955489587
Thailand,oil/gas,34444.7,53290.9,0.6463523791116306
Thailand,solar,4725.3,53290.9,0.08866992300749284
Thailand,wind,2137.0,53290.9,0.04010065508370097
Vietnam,bioenergy,493.0,78180.1,0.006305952537794144
Vietnam,coal,27719.0,78180.1,0.3545531407608841
Vietnam,hydropower,16745.0,78180.1,0.21418493964576663
Vietnam,oil/gas,9770.0,78180.1,0.12496786266581904
Vietnam,solar,16364.1,78180.1,0.20931285582904088
Vietnam,wind,7089.0,78180.1,0.0906752485606951
