Country/area,Owner(s),Capacity_MW,Country_Total_MW,Capacity_Share
Indonesia,Balikpapan Refinery [100%],224.0,97888.2,0.0022883248440567915
Indonesia,Barito Renewables,75.0,97888.2,0.0007661801933225864
Indonesia,China Shenhua Energy Co Ltd; PT Lion Power Energy,700.0,97888.2,0.007151015137677473
Indonesia,Electricity Generating PCL; AC Energy and Infrastructure Corp [19%]; Star Energy Geothermal; Star Energy Group PLC,337.5,97888.2,0.003447810869951639
Indonesia,Hangzhou Jinjiang Group Co Ltd,75.0,97888.2,0.0007661801933225864
Indonesia,INPEX Corp [33%]; ENGIE SA [18%]; Sumitomo Corp [18%]; PT Supreme Energy [30%],85.0,97888.2,0.0008683375524322646
Indonesia,Indonesia Eternal Smelting Co [100%],350.0,97888.2,0.0035755075688387364
Indonesia,Indonesia Huaqing Aluminum Co Ltd [100%],380.0,97888.2,0.003881979646167771
Indonesia,Indonesia Morowali Power Co [100%],250.0,97888.2,0.0025539339777419547
Indonesia,Indonesia Wanjia Ferro Nickel Co Ltd [100%],380.0,97888.2,0.003881979646167771
Indonesia,Indonesia Zhaohui Ferro Nickel Co Ltd [100%],380.0,97888.2,0.003881979646167771
Indonesia,KS Orka Renewables Pte Ltd [100%],223.0,97888.2,0.0022781091081458234
Indonesia,Kansai Electric Power Co; PT Indonesia Power,47.0,97888.2,0.00048013958781548745
Indonesia,Karpowership [100%],595.0,97888.2,0.0060783628670258525
Indonesia,Kencana Agri Ltd,6.0,97888.2,6.129441546580691e-05
Indonesia,Korea Midland Power Corporation; Posco E&C,57.0,97888.2,0.0005822969469251657
Indonesia,Marubeni Corp [27%]; PT Supreme Energy [25%]; ENGIE SA [37%]; Tohoku Electric Power Co Inc [10%],91.0,97888.2,0.0009296319678980715
Indonesia,Merryline International Pte Ltd; PT General Energy Indonesia,426.0,97888.2,0.004351903498072291
Indonesia,PT AKR Corporindo Tbk [100%],500.0,97888.2,0.005107867955483909
Indonesia,PT Amman Mineral Nusa Tenggara,124.0,97888.2,0.0012667512529600095
Indonesia,PT Aneka Tambang Tbk [100%],60.0,97888.2,0.0006129441546580692
Indonesia,PT Angel Nickel Industry [100%],760.0,97888.2,0.007763959292335542
Indonesia,PT Asahimas Chemical [100%],300.0,97888.2,0.0030647207732903458
Indonesia,PT Asrigita Prasarana [100%],150.0,97888.2,0.0015323603866451729
Indonesia,PT Baoshuo Taman Industry Investment Group,350.0,97888.2,0.0035755075688387364
Indonesia,PT Batamindo Investment Cakrawala [100%],114.0,97888.2,0.0011645938938503314
Indonesia,PT Bekasi Power [100%],130.0,97888.2,0.0013280456684258164
Indonesia,PT Berkat Bima Sentana [100%],160.0,97888.2,0.001634517745754851
Indonesia,PT Bhimasena Power Indonesia [100%],1900.0,97888.2,0.019409898230838857
Indonesia,PT Bhumi Jati Power [100%],2000.0,97888.2,0.020431471821935637
Indonesia,PT Bintan Alumina Indonesia,180.0,97888.2,0.0018388324639742075
Indonesia,PT Bosowa Makassar [100%],520.0,97888.2,0.005312182673703265
Indonesia,PT Bukit Pembangkit Innovative [100%],220.0,97888.2,0.00224746190041292
Indonesia,PT Cahaya Fajar Kaltim [100%],60.0,97888.2,0.0006129441546580692
Indonesia,PT Cemindo Gemilang Tbk [100%],60.0,97888.2,0.0006129441546580692
Indonesia,PT Central Java Power [100%],2640.0,97888.2,0.026969542804955043
Indonesia,PT Cikarang Listrindo Tbk [100%],1144.0,97888.2,0.011686801882147185
Indonesia,PT Cirebon Electric Power [100%],1584.0,97888.2,0.016181725682973026
Indonesia,PT DSSP Power Kendari [100%],100.0,97888.2,0.0010215735910967818
Indonesia,PT DSSP Power Sumsel [100%],300.0,97888.2,0.0030647207732903458
Indonesia,PT Dalle Energy Batam [100%],82.1,97888.2,0.0008387119182904579
Indonesia,PT Datang DSSP Power Indonesia [100%],200.0,97888.2,0.0020431471821935636
Indonesia,PT Elektrindo Perkasa Utama [100%],100.0,97888.2,0.0010215735910967818
Indonesia,PT Energi Sengkang [100%],315.0,97888.2,0.003217956811954863
Indonesia,PT Fajar Surya Wisesa Tbk [100%],55.0,97888.2,0.00056186547510323
Indonesia,PT Freeport Indonesia,195.0,97888.2,0.0019920685026387245
Indonesia,PT Freeport Indonesia [100%],128.0,97888.2,0.0013076141966038809
Indonesia,PT GH EMM Indonesia [100%],300.0,97888.2,0.0030647207732903458
Indonesia,PT Gahapi Nisco Steel [100%],60.0,97888.2,0.0006129441546580692
Indonesia,PT Geo Dipa Energi (GDE) [100%],120.0,97888.2,0.0012258883093161383
Indonesia,PT Gorontalo Listrik Perdana [100%],100.0,97888.2,0.0010215735910967818
Indonesia,PT Growth Asia,30.0,97888.2,0.0003064720773290346
Indonesia,PT Gunbuster Nickel Industry [100%],945.0,97888.2,0.00965387043586459
Indonesia,PT Halmahera Persada Lygend [100%],870.0,97888.2,0.008887690242542002
Indonesia,PT Huadian Bukit Asam Power [100%],1320.0,97888.2,0.013484771402477521
Indonesia,PT Huake Nickel Indonesia [100%],250.0,97888.2,0.0025539339777419547
Indonesia,PT Huayue Nickel Cobalt [100%],250.0,97888.2,0.0025539339777419547
Indonesia,PT INALUM (Persero) [100%],603.0,97888.2,0.006160088754313594
Indonesia,PT Indah Kiat Pulp & Paper Tbk,175.0,97888.2,0.0017877537844193682
Indonesia,PT Indah Kiat Pulp & Paper Tbk [100%],755.0,97888.2,0.007712880612780703
Indonesia,PT Indo Bharat Rayon [100%],36.6,97888.2,0.00037389593434142217
Indonesia,PT Indocement Tunggal Prakarsa Tbk [100%],82.0,97888.2,0.0008376903446993612
Indonesia,PT Indonesia Energi Dinamika [100%],200.0,97888.2,0.0020431471821935636
Indonesia,PT Indonesia Guang Ching Nickel and Stainless Steel Industry [100%],300.0,97888.2,0.0030647207732903458
Indonesia,PT Indonesia Power (PTIP) [100%],882.0,97888.2,0.009010279073473616
Indonesia,PT Indonesia Power Suralaya [100%],3400.0,97888.2,0.034733502097290585
Indonesia,PT Indonesia Tsingshan Stainless Steel [100%],1400.0,97888.2,0.014302030275354946
Indonesia,PT Indonesia Weda Bay Industrial Park [100%],1900.0,97888.2,0.019409898230838857
Indonesia,PT Indorama Petrochemicals [100%],40.0,97888.2,0.00040862943643871273
Indonesia,PT International Nickel Indonesia Tbk [100%],90.0,97888.2,0.0009194162319871037
Indonesia,PT Jawa Power [100%],1320.0,97888.2,0.013484771402477521
Indonesia,PT Jawa Satu Power [100%],1760.0,97888.2,0.01797969520330336
Indonesia,PT Kaltara Power Indonesia [100%],275.0,97888.2,0.00280932737551615
Indonesia,PT Kartanegara Energi Perkasa [100%],117.0,97888.2,0.0011952411015832348
Indonesia,PT Krakatau Daya Listrik [100%],640.0,97888.2,0.006538070983019404
Indonesia,PT Lestari Banten Energi [100%],660.0,97888.2,0.006742385701238761
Indonesia,PT Libai Indonesia Metal Co [100%],250.0,97888.2,0.0025539339777419547
Indonesia,PT Lontar Papyrus Pulp & Paper Industry [100%],211.0,97888.2,0.0021555202772142097
Indonesia,PT Makmur Sejahtera Wisesa [100%],60.0,97888.2,0.0006129441546580692
Indonesia,PT Medco Power Indonesia [51%]; Ormat Technology Inc [49%],34.0,97888.2,0.00034733502097290586
Indonesia,PT Medco Power Indonesia; Solar Philippines,25.0,97888.2,0.00025539339777419544
Indonesia,PT Megah Surya Pertiwi [100%],152.0,97888.2,0.0015527918584671084
Indonesia,PT Meppo-Gen [100%],110.0,97888.2,0.00112373095020646
Indonesia,PT Merak Energi Indonesia [100%],120.0,97888.2,0.0012258883093161383
Indonesia,PT Metal Smeltindo Selaras [100%],130.0,97888.2,0.0013280456684258164
Indonesia,PT Meulaboh Power Generation [100%],450.0,97888.2,0.004597081159935518
Indonesia,PT Minahasa Cahaya Lestari [100%],100.0,97888.2,0.0010215735910967818
Indonesia,PT Mitra Energi Batam [100%],82.0,97888.2,0.0008376903446993612
Indonesia,PT Nadesico Nickel Industry,330.0,97888.2,0.0033711928506193803
Indonesia,PT Nusantara Sembcorp Solar Energi (NSSE),50.0,97888.2,0.0005107867955483909
Indonesia,PT OKI Pulp & Paper Mills [100%],220.0,97888.2,0.00224746190041292
Indonesia,PT Obi Nickel Cobalt [100%],760.0,97888.2,0.007763959292335542
Indonesia,PT Obsidian Stainless Steel [100%],1840.0,97888.2,0.018796954076180785
Indonesia,PT PLN (Persero),722.0,97888.2,0.007375761327718765
Indonesia,PT PLN (Persero) [100%],13992.3,97888.2,0.142941641587035
Indonesia,PT PLN (Persero) [51%]; PT Barito Pacific Tbk [49%],2000.0,97888.2,0.020431471821935637
Indonesia,PT PLN Batam [100%],120.0,97888.2,0.0012258883093161383
Indonesia,PT PLN Indonesia Power,60.0,97888.2,0.0006129441546580692
Indonesia,PT PLN Indonesia Power [100%],9555.6,97888.2,0.0976174860708441
Indonesia,PT PLN Indonesia Power; Golden Concord Holdings Ltd,200.0,97888.2,0.0020431471821935636
Indonesia,PT PLN Nusantara Power,54.0,97888.2,0.0005516497391922622
Indonesia,PT PLN Nusantara Power [100%],8561.0,97888.2,0.0874569151337955
Indonesia,PT PLN Nusantara Power; Masdar Clean Energy,192.0,97888.2,0.001961421294905821
Indonesia,PT PLN Wilayah Bangka Belitung [100%],60.0,97888.2,0.0006129441546580692
