Island_Group,Type,Capacity_MW,Island_Total_MW,Capacity_Share
Luzon,bioenergy,114.4,22487.199999999997,0.005087338574833684
Luzon,coal,9140.4,22487.199999999997,0.4064712369703654
Luzon,geothermal,942.0,22487.199999999997,0.041890497705361275
Luzon,hydropower,2359.0,22487.199999999997,0.10490412323455123
Luzon,oil/gas,6456.4,22487.199999999997,0.28711444733003666
Luzon,solar,2937.0,22487.199999999997,0.1306076345654417
Luzon,wind,538.0,22487.199999999997,0.023924721619410158
Mindanao,bioenergy,86.39,3936.79,0.021944274396145082
Mindanao,coal,2164.0,3936.79,0.5496864196464633
Mindanao,geothermal,110.0,3936.79,0.027941546285171422
Mindanao,hydropower,1077.0,3936.79,0.27357313953754203
Mindanao,oil/gas,425.4,3936.79,0.10805757990647202
Mindanao,solar,74.0,3936.79,0.01879704022820623
Visayas,bioenergy,333.0,3298.5,0.1009549795361528
Visayas,coal,1338.0,3298.5,0.4056389267849022
Visayas,geothermal,889.0,3298.5,0.2695164468697893
Visayas,solar,684.5,3298.5,0.20751856904653632
Visayas,wind,54.0,3298.5,0.01637107776261937
