Year,Region,Sector,Month,Consumption_MWh
2024,Luzon,Residential,Jan,2144473
2024,Luzon,Residential,Feb,2046855
2024,Luzon,Residential,Mar,2102645
2024,Luzon,Residential,Apr,2652169
2024,Luzon,Residential,May,2992284
2024,Luzon,Residential,Jun,2887220
2024,Luzon,Residential,Jul,2615308
2024,Luzon,Residential,Aug,2573030
2024,Luzon,Residential,Sep,2497328
2024,Luzon,Residential,Oct,2446339
2024,Luzon,Residential,Nov,2413874
2024,Luzon,Residential,Dec,2285311
2024,Luzon,Commercial,Jan,1829274
2024,Luzon,Commercial,Feb,1864857
2024,Luzon,Commercial,Mar,1804139
2024,Luzon,Commercial,Apr,1993947
2024,Luzon,Commercial,May,2148074
2024,Luzon,Commercial,Jun,2144066
2024,Luzon,Commercial,Jul,2007853
2024,Luzon,Commercial,Aug,2049752
2024,Luzon,Commercial,Sep,2036387
2024,Luzon,Commercial,Oct,2021273
2024,Luzon,Commercial,Nov,2013232
2024,Luzon,Commercial,Dec,1991365
2024,Luzon,Industrial,Jan,1497466
2024,Luzon,Industrial,Feb,1671007
2024,Luzon,Industrial,Mar,1677800
2024,Luzon,Industrial,Apr,1685465
2024,Luzon,Industrial,May,1761515
2024,Luzon,Industrial,Jun,1785486
2024,Luzon,Industrial,Jul,1716345
2024,Luzon,Industrial,Aug,1743549
2024,Luzon,Industrial,Sep,1728293
2024,Luzon,Industrial,Oct,1695260
2024,Luzon,Industrial,Nov,1698295
2024,Luzon,Industrial,Dec,1645453
2024,Luzon,Others,Jan,155082
2024,Luzon,Others,Feb,162234
2024,Luzon,Others,Mar,168395
2024,Luzon,Others,Apr,176005
2024,Luzon,Others,May,183601
2024,Luzon,Others,Jun,180697
2024,Luzon,Others,Jul,177086
2024,Luzon,Others,Aug,187136
2024,Luzon,Others,Sep,177458
2024,Luzon,Others,Oct,172536
2024,Luzon,Others,Nov,173576
2024,Luzon,Others,Dec,164509
2024,Luzon,Total Sales,Jan,5626295
2024,Luzon,Total Sales,Feb,5744952
2024,Luzon,Total Sales,Mar,5752979
2024,Luzon,Total Sales,Apr,6507586
2024,Luzon,Total Sales,May,7085474
2024,Luzon,Total Sales,Jun,6997470
2024,Luzon,Total Sales,Jul,6516591
2024,Luzon,Total Sales,Aug,6553466
2024,Luzon,Total Sales,Sep,6439466
2024,Luzon,Total Sales,Oct,6335408
2024,Luzon,Total Sales,Nov,6298976
2024,Luzon,Total Sales,Dec,6086638
2024,Luzon,Own-Use,Jan,515313
2024,Luzon,Own-Use,Feb,577654
2024,Luzon,Own-Use,Mar,534182
2024,Luzon,Own-Use,Apr,757293
2024,Luzon,Own-Use,May,639499
2024,Luzon,Own-Use,Jun,658681
2024,Luzon,Own-Use,Jul,604958
2024,Luzon,Own-Use,Aug,596113
2024,Luzon,Own-Use,Sep,588929
2024,Luzon,Own-Use,Oct,591737
2024,Luzon,Own-Use,Nov,605640
2024,Luzon,Own-Use,Dec,581669
2024,Luzon,System Loss,Jan,633841
2024,Luzon,System Loss,Feb,699892
2024,Luzon,System Loss,Mar,628684
2024,Luzon,System Loss,Apr,594724
2024,Luzon,System Loss,May,882022
2024,Luzon,System Loss,Jun,715503
2024,Luzon,System Loss,Jul,718519
2024,Luzon,System Loss,Aug,813335
2024,Luzon,System Loss,Sep,611816
2024,Luzon,System Loss,Oct,639800
2024,Luzon,System Loss,Nov,682897
2024,Luzon,System Loss,Dec,451810
2024,Luzon,Total Consumption,Jan,6775449
2024,Luzon,Total Consumption,Feb,7022499
2024,Luzon,Total Consumption,Mar,6915845
2024,Luzon,Total Consumption,Apr,7859604
2024,Luzon,Total Consumption,May,8606995
2024,Luzon,Total Consumption,Jun,8371653
2024,Luzon,Total Consumption,Jul,7840068
2024,Luzon,Total Consumption,Aug,7962915
2024,Luzon,Total Consumption,Sep,7640210
2024,Luzon,Total Consumption,Oct,7566945
2024,Luzon,Total Consumption,Nov,7587513
2024,Luzon,Total Consumption,Dec,7120117
2024,Visayas,Residential,Jan,442011
2024,Visayas,Residential,Feb,414320
2024,Visayas,Residential,Mar,429874
2024,Visayas,Residential,Apr,514738
2024,Visayas,Residential,May,551082
2024,Visayas,Residential,Jun,529518
2024,Visayas,Residential,Jul,475073
2024,Visayas,Residential,Aug,492710
2024,Visayas,Residential,Sep,483699
2024,Visayas,Residential,Oct,474605
2024,Visayas,Residential,Nov,484980
2024,Visayas,Residential,Dec,475484
2024,Visayas,Commercial,Jan,166825
2024,Visayas,Commercial,Feb,166774
2024,Visayas,Commercial,Mar,166223
2024,Visayas,Commercial,Apr,187064
2024,Visayas,Commercial,May,193460
2024,Visayas,Commercial,Jun,189526
2024,Visayas,Commercial,Jul,176257
2024,Visayas,Commercial,Aug,185936
2024,Visayas,Commercial,Sep,185910
2024,Visayas,Commercial,Oct,183585
2024,Visayas,Commercial,Nov,187887
2024,Visayas,Commercial,Dec,184865
2024,Visayas,Industrial,Jan,428318
2024,Visayas,Industrial,Feb,432928
2024,Visayas,Industrial,Mar,418251
2024,Visayas,Industrial,Apr,455423
2024,Visayas,Industrial,May,459611
2024,Visayas,Industrial,Jun,446173
2024,Visayas,Industrial,Jul,428375
2024,Visayas,Industrial,Aug,467925
2024,Visayas,Industrial,Sep,464579
2024,Visayas,Industrial,Oct,473819
2024,Visayas,Industrial,Nov,471542
2024,Visayas,Industrial,Dec,440422
2024,Visayas,Others,Jan,60675
2024,Visayas,Others,Feb,61626
2024,Visayas,Others,Mar,61226
2024,Visayas,Others,Apr,65512
2024,Visayas,Others,May,68460
2024,Visayas,Others,Jun,65237
2024,Visayas,Others,Jul,62660
2024,Visayas,Others,Aug,72413
