Region,Sector,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Luzon,Residential,2144473,2046855,2102645,2652169,2992284,2887220,2615308,2573030,2497328,2446339,2413874,2285311,29656835
Luzon,Commercial,1829274,1864857,1804139,1993947,2148074,2144066,2007853,2049752,2036387,2021273,2013232,1991365,23904218
Luzon,Industrial,1497466,1671007,1677800,1685465,1761515,1785486,1716345,1743549,1728293,1695260,1698295,1645453,20305933
Luzon,Others,155082,162234,168395,176005,183601,180697,177086,187136,177458,172536,173576,164509,2078315
Luzon,Total Sales,5626295,5744952,5752979,6507586,7085474,6997470,6516591,6553466,6439466,6335408,6298976,6086638,75945302
Luzon,Own-Use,515313,577654,534182,757293,639499,658681,604958,596113,588929,591737,605640,581669,7251669
Luzon,System Loss,633841,699892,628684,594724,882022,715503,718519,813335,611816,639800,682897,451810,8072843
Luzon,Total Consumption,6775449,7022499,6915845,7859604,8606995,8371653,7840068,7962915,7640210,7566945,7587513,7120117,91269813
Visayas,Residential,442011,414320,429874,514738,551082,529518,475073,492710,483699,474605,484980,475484,5768094
Visayas,Commercial,166825,166774,166223,187064,193460,189526,176257,185936,185910,183585,187887,184865,2174313
Visayas,Industrial,428318,432928,418251,455423,459611,446173,428375,467925,464579,473819,471542,440422,5387367
Visayas,Others,60675,61626,61226,65512,68460,65237,62660,72413,70554,67290,74821,72080,802554
Visayas,Total Sales,1097830,1075648,1075573,1222737,1272614,1230454,1142365,1218984,1204743,1199299,1219229,1172852,14132327
Visayas,Own-Use,158767,146587,145393,142148,129949,130575,116766,122212,136166,127902,147106,165432,1669004
Visayas,System Loss,156796,143996,136503,170449,190895,173758,152464,135563,160375,176872,179109,132999,1909780
Visayas,Total Consumption,1413393,1366231,1357469,1535334,1593458,1534788,1411595,1476760,1501283,1504073,1545444,1471283,17711112
Mindanao,Residential,458158,427767,437869,504112,518125,510824,465912,493814,485564,485782,503273,489248,5780449
Mindanao,Commercial,148885,149361,149955,165372,171119,168514,156445,168030,167213,166257,174770,168470,1954392
Mindanao,Industrial,412329,426554,418123,451284,454669,468236,438146,461057,477167,463932,463449,445647,5380593
Mindanao,Others,59568,60203,60282,65551,64792,56171,54181,59888,57635,60832,59782,56187,715072
Mindanao,Total Sales,1078938,1063885,1066228,1186318,1208705,1203745,1114684,1182790,1187579,1176804,1201275,1159553,13830505
Mindanao,Own-Use,129408,130071,145629,153809,150783,150988,135038,109909,131001,130386,130914,139347,1637283
Mindanao,System Loss,196878,184379,172280,214834,219486,208842,205759,195553,207758,200368,269617,216358,2492113
Mindanao,Total Consumption,1405224,1378334,1384138,1554962,1578975,1563575,1455481,1488252,1526338,1507558,1601806,1515258,17959902
Philippines,Residential,3044642,2888943,2970387,3671019,4061491,3927562,3556292,3559554,3466591,3406726,3402127,3250044,41205378
Philippines,Commercial,2144984,2180991,2120317,2346383,2512654,2502107,2340555,2403719,2389510,2371115,2375889,2344700,28032923
Philippines,Industrial,2338113,2530489,2514174,2592171,2675795,2699895,2582867,2672530,2670039,2633012,2633286,2531523,31073893
Philippines,Others,275325,284063,289903,307068,316853,302105,293927,319437,305646,300658,308178,292777,3595941
Philippines,Total Sales,7803063,7884485,7894781,8916641,9566792,9431669,8773641,8955240,8831787,8711511,8719479,8419043,103908135
Philippines,Own-Use,803488,854312,825204,1053251,920232,940244,856762,828235,856096,850025,883660,886447,10557956
Philippines,System Loss,987515,1028267,937466,980008,1292404,1098103,1076741,1144451,979949,1017040,1131624,801167,12474736
Philippines,Total Consumption,9594067,9767064,9657451,10949900,11779428,11470016,10707144,10927927,10667832,10578576,10734763,10106658,126940827
