year_page,report_id,doc_title,report_month,download_url,pdf_path,market_transactions_page,market_scope,billing_month,metric,value,source_report_count,overlap_row_count
2021,3240,April 2021 Market Operations Highlights,2021-04-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/APRIL_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2021_2021_04_3240_April_2021_Market_Operations_Highlights.pdf,11,Luzon_Visayas,2020-04-01,Bilateral_Quantity_GWh,5053.0,1,1
2021,3239,May 2021 Market Operations Highlights,2021-05-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/MAY_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2021_2021_05_3239_May_2021_Market_Operations_Highlights.pdf,11,Luzon_Visayas,2020-05-01,Bilateral_Quantity_GWh,5539.0,3,3
2021,3237,July 2021 Market Operations Highlights,2021-07-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/JULY_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2021_2021_07_3237_July_2021_Market_Operations_Highlights.pdf,10,Luzon_Visayas,2020-06-01,Bilateral_Quantity_GWh,6006.0,5,5
2021,3234,August 2021 Market Operations Highlights,2021-08-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/AUGUST_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2021_2021_08_3234_August_2021_Market_Operations_Highlights.pdf,10,Luzon_Visayas,2020-07-01,Bilateral_Quantity_GWh,5779.0,7,7
2021,3233,September 2021 Market Operations Highlights,2021-09-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/SEPTEMBER_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2021_2021_09_3233_September_2021_Market_Operations_Highlights.pdf,10,Luzon_Visayas,2020-08-01,Bilateral_Quantity_GWh,5764.0,8,8
2021,3232,October 2021 Market Operations Highlights,2021-10-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/OCTOBER_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2021_2021_10_3232_October_2021_Market_Operations_Highlights.pdf,9,Luzon_Visayas,2020-09-01,Bilateral_Quantity_GWh,5895.0,9,9
2021,3232,October 2021 Market Operations Highlights,2021-10-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/OCTOBER_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2021_2021_10_3232_October_2021_Market_Operations_Highlights.pdf,9,Luzon_Visayas,2020-10-01,Bilateral_Quantity_GWh,5648.0,9,9
2021,3230,December 2021 Market Operations Highlights,2021-12-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/DECEMBER_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2021_2021_12_3230_December_2021_Market_Operations_Highlights.pdf,10,Luzon_Visayas,2020-11-01,Bilateral_Quantity_GWh,5542.0,10,10
2022,3258,January 2022 Market Operations Highlights,2022-01-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/January%202022%20Market%20Operations%20Highlights.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2022_2022_01_3258_January_2022_Market_Operations_Highlights.pdf,9,Luzon_Visayas,2020-12-01,Bilateral_Quantity_GWh,5543.0,11,11
2022,3258,January 2022 Market Operations Highlights,2022-01-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/January%202022%20Market%20Operations%20Highlights.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2022_2022_01_3258_January_2022_Market_Operations_Highlights.pdf,9,Luzon_Visayas,2021-01-01,Bilateral_Quantity_GWh,5394.0,10,10
