metric,market_scope,billing_month,occurrences,source_reports,min_value,max_value,absolute_difference
Bilateral_Quantity_GWh,Luzon_Visayas,2020-04-01,1,1,5053.0,5053.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2020-05-01,3,3,5539.0,5539.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2020-06-01,5,5,6004.0,6006.0,2.0
Bilateral_Quantity_GWh,Luzon_Visayas,2020-07-01,7,7,5779.0,5779.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2020-08-01,8,8,5764.0,5764.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2020-09-01,9,9,5895.0,5895.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2020-10-01,9,9,5648.0,5648.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2020-11-01,10,10,5542.0,5542.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2020-12-01,11,11,5543.0,5543.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2021-01-01,10,10,5394.0,5394.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2021-02-01,9,9,5522.0,5522.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2021-03-01,10,10,5467.0,5467.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2021-04-01,10,10,6294.0,6294.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2021-05-01,10,10,6556.0,6556.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2021-06-01,9,9,6710.0,6710.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2021-07-01,9,9,6161.0,6161.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2021-08-01,9,9,6385.0,6385.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2021-09-01,10,10,6322.0,6322.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2021-10-01,10,10,6232.0,6232.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2021-11-01,10,10,6293.0,6293.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2021-12-01,10,10,5705.0,5705.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2022-01-01,10,10,5617.0,5617.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2022-02-01,11,11,6100.0,6100.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2022-03-01,11,11,5736.0,5736.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2022-04-01,11,11,6493.0,6493.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2022-05-01,12,12,6689.0,6920.0,231.0
Bilateral_Quantity_GWh,Luzon_Visayas,2022-06-01,12,12,7113.0,7113.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2022-07-01,12,12,6627.0,6627.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2022-08-01,12,12,6241.0,6241.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2022-09-01,12,12,6485.0,6485.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2022-10-01,11,11,6313.0,6313.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2022-10-01,1,1,6313.0,6313.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2022-11-01,10,10,6338.0,6338.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2022-11-01,2,2,6338.0,6338.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2022-12-01,9,9,5894.0,5894.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2022-12-01,3,3,5894.0,5894.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2023-01-01,8,8,5421.0,5421.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2023-01-01,4,4,5421.0,5421.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2023-02-01,7,7,5720.0,5720.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2023-02-01,5,5,6710.0,6710.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2023-03-01,6,6,5066.0,5066.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2023-03-01,6,6,5998.0,5998.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2023-04-01,5,5,6362.0,6362.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2023-04-01,8,8,7415.0,7415.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2023-05-01,4,4,6852.0,6852.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2023-05-01,9,9,7943.0,7943.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2023-06-01,3,3,6783.0,6783.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2023-06-01,10,10,7816.0,7816.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2023-07-01,2,2,6246.0,6246.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2023-07-01,11,11,7252.0,7252.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas,2023-08-01,1,1,6212.0,6212.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2023-08-01,12,12,7262.0,7262.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2023-09-01,13,13,7310.0,7311.0,1.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2023-10-01,13,13,7400.0,7400.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2023-11-01,13,13,7318.0,7318.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2023-12-01,13,13,6824.0,6824.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2024-01-01,13,13,6814.0,6814.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2024-02-01,13,13,6930.0,6930.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2024-03-01,14,14,6772.0,6773.0,1.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2024-04-01,14,14,7530.0,7530.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2024-05-01,14,14,7807.0,7807.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2024-06-01,14,14,7701.0,7701.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2024-07-01,14,14,7410.0,7410.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2024-08-01,14,14,7668.0,7668.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2024-09-01,14,14,7471.0,7471.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2024-10-01,14,14,7205.0,7205.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2024-11-01,14,14,7227.0,7227.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2024-12-01,13,13,6824.0,6824.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2025-01-01,12,12,6805.0,6805.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2025-02-01,11,11,7157.0,7157.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2025-03-01,10,10,6825.0,6825.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2025-04-01,9,9,7922.0,7922.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2025-05-01,8,8,8254.0,8254.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2025-06-01,7,7,8274.0,8274.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2025-07-01,6,6,8012.0,8084.0,72.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2025-08-01,5,5,8304.0,8304.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2025-09-01,4,4,8236.0,8236.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2025-10-01,3,3,8140.0,8140.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2025-11-01,2,2,8292.0,8292.0,0.0
Bilateral_Quantity_GWh,Luzon_Visayas_Mindanao,2025-12-01,1,1,7926.0,7926.0,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2020-04-01,1,1,1.5,1.5,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2020-05-01,3,3,2.19,2.19,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2020-06-01,5,5,3.25,3.25,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2020-07-01,7,7,2.09,2.09,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2020-08-01,8,8,2.05,2.05,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2020-09-01,9,9,3.53,3.53,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2020-10-01,9,9,2.07,2.07,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2020-11-01,10,10,1.84,1.84,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2020-12-01,11,11,1.96,1.96,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2021-01-01,10,10,2.58,2.58,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2021-02-01,9,9,2.34,2.34,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2021-03-01,10,10,4.5,4.51,0.009999999999999787
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2021-04-01,10,10,4.04,4.04,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2021-05-01,10,10,8.31,8.31,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2021-06-01,9,9,7.25,7.26,0.009999999999999787
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2021-07-01,9,9,7.12,7.2,0.08000000000000007
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2021-08-01,9,9,5.13,5.13,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2021-09-01,10,10,3.41,3.41,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2021-10-01,10,10,6.43,6.43,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2021-11-01,10,10,5.15,5.15,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2021-12-01,10,10,6.2,6.2,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2022-01-01,10,10,7.01,7.02,0.009999999999999787
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2022-02-01,11,11,6.51,6.51,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2022-03-01,11,11,7.34,7.34,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2022-04-01,11,11,6.44,6.44,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2022-05-01,12,12,6.42,6.42,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2022-06-01,12,12,9.01,9.01,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2022-07-01,12,12,8.91,8.91,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2022-08-01,12,12,7.13,7.13,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2022-09-01,12,12,9.16,9.16,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2022-10-01,11,11,9.21,9.21,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2022-11-01,10,10,8.62,8.62,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2022-12-01,9,9,8.8,8.8,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2023-01-01,8,8,5.82,5.82,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2023-02-01,7,7,7.62,7.62,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2023-03-01,6,6,6.78,6.78,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2023-04-01,5,5,8.2,8.2,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2023-05-01,4,4,9.3,9.3,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2023-06-01,3,3,6.95,6.95,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2023-07-01,2,2,5.94,5.94,0.0
Customer_ESSP_PHP_per_kWh,Luzon_Visayas,2023-08-01,1,1,5.94,5.94,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2020-05-01,1,1,203.0,203.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2020-06-01,2,2,223.0,223.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2020-07-01,3,3,223.0,223.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2020-08-01,4,4,209.0,209.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2020-09-01,5,5,223.0,223.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2020-10-01,5,5,214.0,214.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2020-11-01,6,6,202.0,202.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2020-12-01,7,7,207.0,207.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2021-01-01,7,7,193.0,193.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2021-02-01,7,7,199.0,199.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2021-03-01,9,9,220.0,220.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2021-04-01,10,10,220.0,220.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2021-05-01,10,10,241.0,241.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2021-06-01,9,9,242.0,242.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2021-07-01,9,9,227.0,227.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2021-08-01,9,9,225.0,225.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2021-09-01,10,10,221.0,221.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2021-10-01,10,10,226.0,226.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2021-11-01,10,10,231.0,231.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2021-12-01,10,10,207.0,207.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2022-01-01,10,10,191.0,191.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2022-02-01,11,11,217.0,217.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2022-03-01,11,11,235.0,235.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2022-04-01,11,11,233.0,233.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2022-05-01,12,12,251.0,258.0,7.0
Daily_Average_MQ_GWh,Luzon_Visayas,2022-06-01,12,12,252.0,252.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2022-07-01,12,12,241.0,241.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2022-08-01,12,12,234.0,234.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2022-09-01,12,12,238.0,238.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2022-10-01,11,11,243.0,243.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2022-10-01,1,1,243.0,243.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2022-11-01,10,10,232.0,232.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2022-11-01,2,2,232.0,232.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2022-12-01,9,9,227.0,227.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2022-12-01,3,3,227.0,227.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2023-01-01,8,8,206.0,206.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2023-01-01,4,4,206.0,206.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2023-02-01,7,7,221.0,221.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2023-02-01,5,5,257.0,257.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2023-03-01,6,6,228.0,228.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2023-03-01,6,6,266.0,266.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2023-04-01,5,5,247.0,247.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2023-04-01,8,8,286.0,286.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2023-05-01,4,4,269.0,270.0,1.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2023-05-01,9,9,310.0,310.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2023-06-01,3,3,259.0,259.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2023-06-01,10,10,299.0,299.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2023-07-01,2,2,255.0,255.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2023-07-01,11,11,294.0,294.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas,2023-08-01,1,1,255.0,255.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2023-08-01,12,12,294.0,294.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2023-09-01,13,13,291.0,291.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2023-10-01,13,13,296.0,297.0,1.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2023-11-01,13,13,289.0,289.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2023-12-01,13,13,285.0,285.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2024-01-01,13,13,273.0,273.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2024-02-01,13,13,284.0,284.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2024-03-01,14,14,293.0,293.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2024-04-01,14,14,320.0,320.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2024-05-01,14,14,350.0,350.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2024-06-01,14,14,327.0,327.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2024-07-01,14,14,311.0,311.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2024-08-01,14,14,327.0,327.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2024-09-01,14,14,305.0,305.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2024-10-01,14,14,312.0,312.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2024-11-01,14,14,305.0,305.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2024-12-01,13,13,296.0,296.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2025-01-01,12,12,279.0,279.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2025-02-01,11,11,288.0,288.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2025-03-01,10,10,306.0,306.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2025-04-01,9,9,329.0,330.0,1.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2025-05-01,8,8,341.0,341.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2025-06-01,7,7,328.0,339.0,11.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2025-07-01,6,6,311.0,311.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2025-08-01,5,5,317.0,317.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2025-09-01,4,4,308.0,308.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2025-10-01,3,3,313.0,313.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2025-11-01,2,2,305.0,305.0,0.0
Daily_Average_MQ_GWh,Luzon_Visayas_Mindanao,2025-12-01,1,1,305.0,305.0,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2023-08-01,1,1,5.89,5.89,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2023-09-01,2,2,5.5,5.5,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2023-10-01,3,3,6.94,6.94,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2023-11-01,4,4,4.39,4.39,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2023-12-01,5,5,4.74,4.74,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2024-01-01,6,6,4.9,4.9,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2024-02-01,7,7,4.3,4.3,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2024-03-01,9,9,5.72,5.72,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2024-04-01,10,10,7.56,7.56,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2024-05-01,11,11,8.65,8.65,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2024-06-01,12,12,6.58,6.58,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2024-07-01,13,13,6.18,6.18,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2024-08-01,14,14,6.16,6.16,0.0
ESSP_PHP_per_kWh,Luzon_Visayas_Mindanao,2024-09-01,14,14,4.12,4.12,0.0
