year_page,report_id,doc_title,description,published_date,date_uploaded,filename,download_url,report_month
2021,3243,January 2021 Market Operations Highlights,Media Briefing for January 2021,24 January 2022 11:44,12 July 2024 04:08,JANUARY_2021_MARKET OPERATIONS HIGHLIGHTS.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/JANUARY_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,2021-01-01
2021,3242,February 2021 Market Operations Highlights,Media Briefing for February 2021,24 January 2022 11:44,12 July 2024 04:08,FEBRUARY_2021_MARKET OPERATIONS HIGHLIGHTS.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/FEBRUARY_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,2021-02-01
2021,3241,March 2021 Market Operations Highlights,Media Briefing for March 2021,24 January 2022 11:44,12 July 2024 04:08,MARCH_2021_MARKET OPERATIONS HIGHLIGHTS.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/MARCH_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,2021-03-01
2021,3240,April 2021 Market Operations Highlights,Media Briefing for April 2021,24 January 2022 11:44,12 July 2024 04:08,APRIL_2021_MARKET OPERATIONS HIGHLIGHTS.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/APRIL_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,2021-04-01
2021,3239,May 2021 Market Operations Highlights,Media Briefing for May 2021,24 January 2022 11:44,12 July 2024 04:08,MAY_2021_MARKET OPERATIONS HIGHLIGHTS.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/MAY_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,2021-05-01
2021,3238,June 2021 Market Operations Highlights,Media Briefing for June 2021,24 January 2022 11:44,12 July 2024 04:08,JUNE_2021_MARKET OPERATIONS HIGHLIGHTS.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/JUNE_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,2021-06-01
2021,3237,July 2021 Market Operations Highlights,Media Briefing for July 2021,24 January 2022 11:44,12 July 2024 04:08,JULY_2021_MARKET OPERATIONS HIGHLIGHTS.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/JULY_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,2021-07-01
2021,3234,August 2021 Market Operations Highlights,Media Briefing for August 2021,24 January 2022 11:41,12 July 2024 04:08,AUGUST_2021_MARKET OPERATIONS HIGHLIGHTS.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/AUGUST_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,2021-08-01
2021,3233,September 2021 Market Operations Highlights,Media Briefing for September 2021,24 January 2022 11:41,12 July 2024 04:08,SEPTEMBER_2021_MARKET OPERATIONS HIGHLIGHTS.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/SEPTEMBER_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,2021-09-01
2021,3232,October 2021 Market Operations Highlights,Media Briefing for October 2021,24 January 2022 11:28,12 July 2024 04:08,OCTOBER_2021_MARKET OPERATIONS HIGHLIGHTS.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/OCTOBER_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,2021-10-01
